ClkCycle:         41, pc_rdata: 0000004c, pc_wdata: 00000050, insn: 800f8f93, mode: 3, rs1_addr: 31, rs1_rdata: 00004000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 00003800, mem_addr: 00003800, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         42, pc_rdata: 00000050, pc_wdata: 00000054, insn: 300f9073, mode: 3, rs1_addr: 31, rs1_rdata: 00004000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00003800, mem_addr: 00003800, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         43, pc_rdata: 00000054, pc_wdata: 00000056, insn: 00004f81, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         44, pc_rdata: 00000056, pc_wdata: 00000056, insn: 00004f81, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         45, pc_rdata: 00000056, pc_wdata: 00000058, insn: 304f9073, mode: 3, rs1_addr:  2, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         46, pc_rdata: 00000058, pc_wdata: 0000005c, insn: 304f9073, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr:  4, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         47, pc_rdata: 0000005c, pc_wdata: 00000060, insn: 30200073, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  2, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000302, mem_addr: 00000302, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         48, pc_rdata: 00000060, pc_wdata: 00000064, insn: 007d9fb7, mode: 3, rs1_addr: 27, rs1_rdata: 00000000, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 007d9000, mem_addr: 007d9000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         49, pc_rdata: 00000064, pc_wdata: 00000068, insn: d17f8f93, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr: 23, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 007d8d17, mem_addr: 007d8d17, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         50, pc_rdata: 00000068, pc_wdata: 0000006c, insn: f00f8053, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 007d8d17, mem_addr: 007d8d17, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         51, pc_rdata: 0000006c, pc_wdata: 00000070, insn: 00091fb7, mode: 3, rs1_addr: 18, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 00091000, mem_addr: 00091000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         52, pc_rdata: 00000070, pc_wdata: 00000074, insn: 462f8f93, mode: 3, rs1_addr: 31, rs1_rdata: 007d8d17, rs2_addr:  2, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 00091462, mem_addr: 00091462, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         53, pc_rdata: 00000074, pc_wdata: 00000078, insn: f00f80d3, mode: 3, rs1_addr: 31, rs1_rdata: 007d8d17, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  1, rd_wdata: 00091462, mem_addr: 00091462, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         54, pc_rdata: 00000078, pc_wdata: 0000007c, insn: ff800fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 24, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: ff800000, mem_addr: ff800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         55, pc_rdata: 0000007c, pc_wdata: 00000080, insn: f00f8153, mode: 3, rs1_addr: 31, rs1_rdata: 00091462, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  2, rd_wdata: ff800000, mem_addr: ff800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         56, pc_rdata: 00000080, pc_wdata: 00000084, insn: 000ccfb7, mode: 3, rs1_addr: 25, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 000cc000, mem_addr: 000cc000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         57, pc_rdata: 00000084, pc_wdata: 00000088, insn: 5d8f8f93, mode: 3, rs1_addr: 31, rs1_rdata: ff800000, rs2_addr: 24, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 000cc5d8, mem_addr: 000cc5d8, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         58, pc_rdata: 00000088, pc_wdata: 0000008c, insn: f00f81d3, mode: 3, rs1_addr: 31, rs1_rdata: ff800000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  3, rd_wdata: 000cc5d8, mem_addr: 000cc5d8, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         59, pc_rdata: 0000008c, pc_wdata: 00000090, insn: 7fc00fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 28, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 7fc00000, mem_addr: 7fc00000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         60, pc_rdata: 00000090, pc_wdata: 00000094, insn: f00f8253, mode: 3, rs1_addr: 31, rs1_rdata: 000cc5d8, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  4, rd_wdata: 7fc00000, mem_addr: 7fc00000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         61, pc_rdata: 00000094, pc_wdata: 00000098, insn: 00306fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  3, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 00306000, mem_addr: 00306000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         62, pc_rdata: 00000098, pc_wdata: 0000009c, insn: dd0f8f93, mode: 3, rs1_addr: 31, rs1_rdata: 7fc00000, rs2_addr: 16, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 00305dd0, mem_addr: 00305dd0, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         63, pc_rdata: 0000009c, pc_wdata: 000000a0, insn: f00f82d3, mode: 3, rs1_addr: 31, rs1_rdata: 7fc00000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: 00305dd0, mem_addr: 00305dd0, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         64, pc_rdata: 000000a0, pc_wdata: 000000a4, insn: 7f800fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 24, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 7f800000, mem_addr: 7f800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         65, pc_rdata: 000000a4, pc_wdata: 000000a6, insn: 00001ffd, mode: 3, rs1_addr: 31, rs1_rdata: 00305dd0, rs2_addr: 31, rs2_rdata: 00305dd0, rd_addr: 31, rd_wdata: 7f7fffff, mem_addr: 7f7fffff, mem_rdata: 00000000, mem_wdata: 7f800000
ClkCycle:         66, pc_rdata: 000000a6, pc_wdata: 000000a6, insn: 00001ffd, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         67, pc_rdata: 000000a6, pc_wdata: 000000a8, insn: f00f8353, mode: 3, rs1_addr:  2, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         68, pc_rdata: 000000a8, pc_wdata: 000000ac, insn: f00f8353, mode: 3, rs1_addr: 31, rs1_rdata: 7f7fffff, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  6, rd_wdata: 7f7fffff, mem_addr: 7f7fffff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         69, pc_rdata: 000000ac, pc_wdata: 000000b0, insn: ff800fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 24, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: ff800000, mem_addr: ff800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         70, pc_rdata: 000000b0, pc_wdata: 000000b2, insn: 00001ffd, mode: 3, rs1_addr: 31, rs1_rdata: 7f7fffff, rs2_addr: 31, rs2_rdata: 7f7fffff, rd_addr: 31, rd_wdata: ff7fffff, mem_addr: ff7fffff, mem_rdata: 00000000, mem_wdata: ff800000
ClkCycle:         71, pc_rdata: 000000b2, pc_wdata: 000000b2, insn: 00001ffd, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         72, pc_rdata: 000000b2, pc_wdata: 000000b4, insn: f00f83d3, mode: 3, rs1_addr:  2, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         73, pc_rdata: 000000b4, pc_wdata: 000000b8, insn: f00f83d3, mode: 3, rs1_addr: 31, rs1_rdata: ff7fffff, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  7, rd_wdata: ff7fffff, mem_addr: ff7fffff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         74, pc_rdata: 000000b8, pc_wdata: 000000bc, insn: ff800fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 24, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: ff800000, mem_addr: ff800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         75, pc_rdata: 000000bc, pc_wdata: 000000be, insn: 00001ffd, mode: 3, rs1_addr: 31, rs1_rdata: ff7fffff, rs2_addr: 31, rs2_rdata: ff7fffff, rd_addr: 31, rd_wdata: ff7fffff, mem_addr: ff7fffff, mem_rdata: 00000000, mem_wdata: ff800000
